# Kick = [    0.000000000000e+00,     0.000000000000e+00,     1.000000000000e-03]
#            time            norm                    dmx                    dmy                    dmz
          0.00000000       1.11022302e-16    -2.220446049250e-15    -4.440892098501e-15    -2.220446049250e-15
          0.33073099       0.00000000e+00    -1.332267629550e-15    -1.332267629550e-15     6.317695499338e-04
          0.66146197      -1.11022302e-16     8.881784197001e-16    -4.440892098501e-16     1.217849591663e-03
          0.99219296       3.88578059e-16    -6.661338147751e-15    -4.884981308351e-15     1.750105714238e-03
          1.32292395       0.00000000e+00    -1.332267629550e-15    -1.332267629550e-15     2.239670851760e-03
          1.65365493      -3.33066907e-16     3.996802888651e-15     0.000000000000e+00     2.694708552772e-03
          1.98438592       5.55111512e-17    -1.332267629550e-15    -1.776356839400e-15     3.118927557590e-03
          2.31511691      -2.22044605e-16     3.108624468950e-15     4.440892098501e-16     3.516801372332e-03
          2.64584789      -6.10622664e-16     5.773159728051e-15     5.329070518201e-15     3.892569963846e-03
          2.97657888       0.00000000e+00     8.881784197001e-16    -1.332267629550e-15     4.247548596292e-03
          3.30730987       2.77555756e-16    -2.664535259100e-15    -3.996802888651e-15     4.583924678423e-03
          3.63804085       0.00000000e+00    -3.996802888651e-15    -2.664535259100e-15     4.903066689251e-03
          3.96877184      -1.11022302e-16     0.000000000000e+00    -8.881784197001e-16     5.205134069397e-03
          4.29950283       3.88578059e-16    -4.884981308351e-15    -4.440892098501e-15     5.490926406330e-03
          4.63023381       5.55111512e-17     0.000000000000e+00    -1.776356839400e-15     5.760238495506e-03
          4.96096480       6.10622664e-16    -5.329070518201e-15    -3.552713678801e-15     6.012896615687e-03
          5.29169579      -6.10622664e-16     5.773159728051e-15     5.773159728051e-15     6.248631140718e-03
          5.62242677      -2.22044605e-16     2.220446049250e-15    -1.332267629550e-15     6.466743927095e-03
          5.95315776      -1.66533454e-16     8.881784197001e-16    -8.881784197001e-16     6.666745514349e-03
          6.28388875       3.88578059e-16    -2.664535259100e-15    -1.332267629550e-15     6.847811052015e-03
          6.61461974       5.55111512e-17    -1.776356839400e-15     0.000000000000e+00     7.009260095038e-03
          6.94535072      -3.88578059e-16     7.993605777301e-15     5.773159728051e-15     7.150455536820e-03
          7.27608171       1.66533454e-16    -8.881784197001e-16    -3.108624468950e-15     7.270683204633e-03
          7.60681270       0.00000000e+00    -1.332267629550e-15    -1.332267629550e-15     7.369327592392e-03
          7.93754368      -6.66133815e-16     4.440892098501e-15     3.996802888651e-15     7.445710041648e-03
          8.26827467       1.66533454e-16    -2.220446049250e-15    -2.664535259100e-15     7.499270679920e-03
          8.59900566      -3.88578059e-16     4.440892098501e-15     5.329070518201e-15     7.529502524270e-03
          8.92973664      -2.77555756e-16     4.884981308351e-15     3.552713678801e-15     7.535915290379e-03
          9.26046763      -5.55111512e-17     1.332267629550e-15     2.220446049250e-15     7.518123517038e-03
          9.59119862      -5.55111512e-17    -8.881784197001e-16     8.881784197001e-16     7.475887856526e-03
          9.92192960       6.66133815e-16    -7.105427357601e-15    -8.437694987151e-15     7.409163851228e-03
         10.25266059      -1.11022302e-16     1.332267629550e-15     3.108624468950e-15     7.318091213079e-03
