# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 19.9920 fs, Time steps = [8.0000] as
# Kick = [0, 0, 0.001]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
    4.100000     0.0000000000e+00     0.0000000000e+00     7.5058360136e-03
    4.150000     0.0000000000e+00     0.0000000000e+00     1.6336934972e-02
    4.200000     0.0000000000e+00     0.0000000000e+00     3.3614693819e-02
    4.250000     0.0000000000e+00     0.0000000000e+00     6.5407625592e-02
    4.300000     0.0000000000e+00     0.0000000000e+00     1.2037373972e-01
    4.350000     0.0000000000e+00     0.0000000000e+00     2.0953998194e-01
    4.400000     0.0000000000e+00     0.0000000000e+00     3.4502188338e-01
    4.450000     0.0000000000e+00     0.0000000000e+00     5.3737496588e-01
    4.500000     0.0000000000e+00     0.0000000000e+00     7.9170412711e-01
    4.550000     0.0000000000e+00     0.0000000000e+00     1.1033299824e+00
    4.600000     0.0000000000e+00     0.0000000000e+00     1.4544764344e+00
    4.650000     0.0000000000e+00     0.0000000000e+00     1.8137112014e+00
    4.700000     0.0000000000e+00     0.0000000000e+00     2.1393952201e+00
    4.750000     0.0000000000e+00     0.0000000000e+00     2.3871325271e+00
    4.800000     0.0000000000e+00     0.0000000000e+00     2.5195664133e+00
    4.850000     0.0000000000e+00     0.0000000000e+00     2.5155908163e+00
    4.900000     0.0000000000e+00     0.0000000000e+00     2.3758567950e+00
    4.950000    -0.0000000000e+00     0.0000000000e+00     2.1225982404e+00
    5.000000    -0.0000000000e+00     0.0000000000e+00     1.7938409504e+00
    5.050000    -0.0000000000e+00     0.0000000000e+00     1.4340693764e+00
    5.100000    -0.0000000000e+00     0.0000000000e+00     1.0844969027e+00
    5.150000    -0.0000000000e+00     0.0000000000e+00     7.7581975816e-01
    5.200000    -0.0000000000e+00     0.0000000000e+00     5.2501449038e-01
    5.250000    -0.0000000000e+00     0.0000000000e+00     3.3609760051e-01
    5.300000    -0.0000000000e+00     0.0000000000e+00     2.0354161246e-01
    5.350000    -0.0000000000e+00    -0.0000000000e+00     1.1661473793e-01
    5.400000    -0.0000000000e+00    -0.0000000000e+00     6.3212563534e-02
    5.450000    -0.0000000000e+00    -0.0000000000e+00     3.2425095150e-02
    5.500000    -0.0000000000e+00    -0.0000000000e+00     1.5745585747e-02
    5.550000    -0.0000000000e+00    -0.0000000000e+00     7.2448861637e-03
    5.600000    -0.0000000000e+00    -0.0000000000e+00     3.1655656110e-03
    5.650000    -0.0000000000e+00    -0.0000000000e+00     1.3206944046e-03
    5.700000    -0.0000000000e+00    -0.0000000000e+00     5.3358933966e-04
    5.750000    -0.0000000000e+00     0.0000000000e+00     2.1632229440e-04
    5.800000    -0.0000000000e+00     0.0000000000e+00     9.5206072775e-05
    5.850000    -0.0000000000e+00     0.0000000000e+00     5.1238405499e-05
    5.900000    -0.0000000000e+00     0.0000000000e+00     3.5981444156e-05
    5.950000    -0.0000000000e+00     0.0000000000e+00     3.0940890355e-05
    6.000000    -0.0000000000e+00     0.0000000000e+00     2.9498118336e-05
    6.050000    -0.0000000000e+00     0.0000000000e+00     2.9513728616e-05
    6.100000     0.0000000000e+00     0.0000000000e+00     3.0637179270e-05
    6.150000     0.0000000000e+00     0.0000000000e+00     3.3694213779e-05
    6.200000     0.0000000000e+00     0.0000000000e+00     4.1243818349e-05
    6.250000     0.0000000000e+00     0.0000000000e+00     5.9271130376e-05
    6.300000     0.0000000000e+00     0.0000000000e+00     1.0044667211e-04
    6.350000     0.0000000000e+00     0.0000000000e+00     1.8955057136e-04
    6.400000     0.0000000000e+00     0.0000000000e+00     3.7140407267e-04
    6.450000     0.0000000000e+00     0.0000000000e+00     7.2071342655e-04
    6.500000     0.0000000000e+00     0.0000000000e+00     1.3514267750e-03
    6.550000     0.0000000000e+00     0.0000000000e+00     2.4207360906e-03
    6.600000     0.0000000000e+00     0.0000000000e+00     4.1206669647e-03
    6.650000     0.0000000000e+00     0.0000000000e+00     6.6500403311e-03
    6.700000     0.0000000000e+00     0.0000000000e+00     1.0163424209e-02
    6.750000     0.0000000000e+00     0.0000000000e+00     1.4702355465e-02
    6.800000     0.0000000000e+00     0.0000000000e+00     2.0125789804e-02
    6.850000     0.0000000000e+00     0.0000000000e+00     2.6066428362e-02
    6.900000     0.0000000000e+00     0.0000000000e+00     3.1940626322e-02
    6.950000     0.0000000000e+00     0.0000000000e+00     3.7027409706e-02
    7.000000     0.0000000000e+00     0.0000000000e+00     4.0608175073e-02
    7.050000    -0.0000000000e+00    -0.0000000000e+00     4.2131843711e-02
    7.100000    -0.0000000000e+00    -0.0000000000e+00     4.1353645689e-02
    7.150000    -0.0000000000e+00    -0.0000000000e+00     3.8399478409e-02
    7.200000    -0.0000000000e+00    -0.0000000000e+00     3.3732565975e-02
    7.250000    -0.0000000000e+00    -0.0000000000e+00     2.8034558129e-02
    7.300000    -0.0000000000e+00    -0.0000000000e+00     2.2043040057e-02
    7.350000    -0.0000000000e+00    -0.0000000000e+00     1.6398543203e-02
    7.400000    -0.0000000000e+00    -0.0000000000e+00     1.1543436989e-02
    7.450000    -0.0000000000e+00    -0.0000000000e+00     7.6901616326e-03
    7.500000    -0.0000000000e+00    -0.0000000000e+00     4.8500991905e-03
    7.550000     0.0000000000e+00    -0.0000000000e+00     2.8978336420e-03
    7.600000     0.0000000000e+00    -0.0000000000e+00     1.6425680664e-03
    7.650000     0.0000000000e+00     0.0000000000e+00     8.8605157583e-04
    7.700000     0.0000000000e+00     0.0000000000e+00     4.5807419223e-04
    7.750000     0.0000000000e+00     0.0000000000e+00     2.3058884679e-04
    7.800000     0.0000000000e+00     0.0000000000e+00     1.1693957757e-04
    7.850000     0.0000000000e+00     0.0000000000e+00     6.3633254045e-05
    7.900000     0.0000000000e+00     0.0000000000e+00     4.0354879353e-05
    7.950000     0.0000000000e+00     0.0000000000e+00     3.1413760573e-05
    8.000000     0.0000000000e+00     0.0000000000e+00     2.9742092046e-05
    8.050000     0.0000000000e+00     0.0000000000e+00     3.3356045083e-05
    8.100000     0.0000000000e+00     0.0000000000e+00     4.3709085334e-05
    8.150000     0.0000000000e+00     0.0000000000e+00     6.5297534243e-05
    8.200000     0.0000000000e+00     0.0000000000e+00     1.0592289765e-04
    8.250000     0.0000000000e+00     0.0000000000e+00     1.7700755636e-04
    8.300000     0.0000000000e+00     0.0000000000e+00     2.9328922028e-04
    8.350000     0.0000000000e+00     0.0000000000e+00     4.7120053657e-04
    8.400000     0.0000000000e+00     0.0000000000e+00     7.2544757283e-04
    8.450000     0.0000000000e+00     0.0000000000e+00     1.0638682976e-03
    8.500000     0.0000000000e+00     0.0000000000e+00     1.4815478000e-03
