# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 39.9920 fs, Time steps = [8.0000] as
# Kick = [0, 0, 0.001]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
    4.100000     0.0000000000e+00     0.0000000000e+00     7.5058358156e-03
    4.150000     0.0000000000e+00     0.0000000000e+00     1.6336934963e-02
    4.200000     0.0000000000e+00     0.0000000000e+00     3.3614694030e-02
    4.250000     0.0000000000e+00     0.0000000000e+00     6.5407625611e-02
    4.300000     0.0000000000e+00     0.0000000000e+00     1.2037373950e-01
    4.350000     0.0000000000e+00     0.0000000000e+00     2.0953998191e-01
    4.400000     0.0000000000e+00     0.0000000000e+00     3.4502188362e-01
    4.450000     0.0000000000e+00     0.0000000000e+00     5.3737496592e-01
    4.500000     0.0000000000e+00     0.0000000000e+00     7.9170412687e-01
    4.550000     0.0000000000e+00     0.0000000000e+00     1.1033299823e+00
    4.600000     0.0000000000e+00     0.0000000000e+00     1.4544764346e+00
    4.650000     0.0000000000e+00     0.0000000000e+00     1.8137112015e+00
    4.700000     0.0000000000e+00     0.0000000000e+00     2.1393952198e+00
    4.750000     0.0000000000e+00     0.0000000000e+00     2.3871325270e+00
    4.800000     0.0000000000e+00     0.0000000000e+00     2.5195664135e+00
    4.850000     0.0000000000e+00     0.0000000000e+00     2.5155908164e+00
    4.900000     0.0000000000e+00     0.0000000000e+00     2.3758567947e+00
    4.950000    -0.0000000000e+00     0.0000000000e+00     2.1225982403e+00
    5.000000    -0.0000000000e+00     0.0000000000e+00     1.7938409507e+00
    5.050000    -0.0000000000e+00     0.0000000000e+00     1.4340693765e+00
    5.100000    -0.0000000000e+00     0.0000000000e+00     1.0844969024e+00
    5.150000    -0.0000000000e+00     0.0000000000e+00     7.7581975804e-01
    5.200000    -0.0000000000e+00     0.0000000000e+00     5.2501449066e-01
    5.250000    -0.0000000000e+00     0.0000000000e+00     3.3609760064e-01
    5.300000    -0.0000000000e+00     0.0000000000e+00     2.0354161219e-01
    5.350000    -0.0000000000e+00    -0.0000000000e+00     1.1661473778e-01
    5.400000    -0.0000000000e+00    -0.0000000000e+00     6.3212563801e-02
    5.450000    -0.0000000000e+00    -0.0000000000e+00     3.2425095312e-02
    5.500000    -0.0000000000e+00    -0.0000000000e+00     1.5745585487e-02
    5.550000    -0.0000000000e+00    -0.0000000000e+00     7.2448859897e-03
    5.600000    -0.0000000000e+00    -0.0000000000e+00     3.1655658626e-03
    5.650000    -0.0000000000e+00    -0.0000000000e+00     1.3206945907e-03
    5.700000    -0.0000000000e+00    -0.0000000000e+00     5.3358909869e-04
    5.750000    -0.0000000000e+00     0.0000000000e+00     2.1632209658e-04
    5.800000    -0.0000000000e+00     0.0000000000e+00     9.5206301449e-05
    5.850000    -0.0000000000e+00     0.0000000000e+00     5.1238614658e-05
    5.900000    -0.0000000000e+00     0.0000000000e+00     3.5981229346e-05
    5.950000    -0.0000000000e+00     0.0000000000e+00     3.0940670405e-05
    6.000000    -0.0000000000e+00     0.0000000000e+00     2.9498317839e-05
    6.050000    -0.0000000000e+00     0.0000000000e+00     2.9513958660e-05
    6.100000     0.0000000000e+00     0.0000000000e+00     3.0636996388e-05
    6.150000     0.0000000000e+00     0.0000000000e+00     3.3693974481e-05
    6.200000     0.0000000000e+00     0.0000000000e+00     4.1243983428e-05
    6.250000     0.0000000000e+00     0.0000000000e+00     5.9271377948e-05
    6.300000     0.0000000000e+00     0.0000000000e+00     1.0044652588e-04
    6.350000     0.0000000000e+00     0.0000000000e+00     1.8955031663e-04
    6.400000     0.0000000000e+00     0.0000000000e+00     3.7140419916e-04
    6.450000     0.0000000000e+00     0.0000000000e+00     7.2071368719e-04
    6.500000     0.0000000000e+00     0.0000000000e+00     1.3514266691e-03
    6.550000     0.0000000000e+00     0.0000000000e+00     2.4207358254e-03
    6.600000     0.0000000000e+00     0.0000000000e+00     4.1206670496e-03
    6.650000     0.0000000000e+00     0.0000000000e+00     6.6500405994e-03
    6.700000     0.0000000000e+00     0.0000000000e+00     1.0163424146e-02
    6.750000     0.0000000000e+00     0.0000000000e+00     1.4702355195e-02
    6.800000     0.0000000000e+00     0.0000000000e+00     2.0125789845e-02
    6.850000     0.0000000000e+00     0.0000000000e+00     2.6066428632e-02
    6.900000     0.0000000000e+00     0.0000000000e+00     3.1940626302e-02
    6.950000     0.0000000000e+00     0.0000000000e+00     3.7027409438e-02
    7.000000     0.0000000000e+00     0.0000000000e+00     4.0608175070e-02
    7.050000    -0.0000000000e+00    -0.0000000000e+00     4.2131843975e-02
    7.100000    -0.0000000000e+00    -0.0000000000e+00     4.1353645713e-02
    7.150000    -0.0000000000e+00    -0.0000000000e+00     3.8399478150e-02
    7.200000    -0.0000000000e+00    -0.0000000000e+00     3.3732565929e-02
    7.250000    -0.0000000000e+00    -0.0000000000e+00     2.8034558382e-02
    7.300000    -0.0000000000e+00    -0.0000000000e+00     2.2043040124e-02
    7.350000    -0.0000000000e+00    -0.0000000000e+00     1.6398542959e-02
    7.400000    -0.0000000000e+00    -0.0000000000e+00     1.1543436903e-02
    7.450000    -0.0000000000e+00    -0.0000000000e+00     7.6901618664e-03
    7.500000    -0.0000000000e+00    -0.0000000000e+00     4.8500992965e-03
    7.550000     0.0000000000e+00    -0.0000000000e+00     2.8978334200e-03
    7.600000     0.0000000000e+00    -0.0000000000e+00     1.6425679421e-03
    7.650000     0.0000000000e+00     0.0000000000e+00     8.8605178440e-04
    7.700000     0.0000000000e+00     0.0000000000e+00     4.5807433371e-04
    7.750000     0.0000000000e+00     0.0000000000e+00     2.3058865304e-04
    7.800000     0.0000000000e+00     0.0000000000e+00     1.1693942020e-04
    7.850000     0.0000000000e+00     0.0000000000e+00     6.3633431633e-05
    7.900000     0.0000000000e+00     0.0000000000e+00     4.0355051187e-05
    7.950000     0.0000000000e+00     0.0000000000e+00     3.1413600375e-05
    8.000000     0.0000000000e+00     0.0000000000e+00     2.9741907282e-05
    8.050000     0.0000000000e+00     0.0000000000e+00     3.3356186797e-05
    8.100000     0.0000000000e+00     0.0000000000e+00     4.3709281378e-05
    8.150000     0.0000000000e+00     0.0000000000e+00     6.5297411963e-05
    8.200000     0.0000000000e+00     0.0000000000e+00     1.0592269207e-04
    8.250000     0.0000000000e+00     0.0000000000e+00     1.7700765840e-04
    8.300000     0.0000000000e+00     0.0000000000e+00     2.9328943357e-04
    8.350000     0.0000000000e+00     0.0000000000e+00     4.7120045539e-04
    8.400000     0.0000000000e+00     0.0000000000e+00     7.2544735372e-04
    8.450000     0.0000000000e+00     0.0000000000e+00     1.0638683575e-03
    8.500000     0.0000000000e+00     0.0000000000e+00     1.4815480230e-03
    8.550000     0.0000000000e+00     0.0000000000e+00     1.9560958281e-03
    8.600000     0.0000000000e+00     0.0000000000e+00     2.4464370093e-03
    8.650000     0.0000000000e+00     0.0000000000e+00     2.8969317015e-03
    8.700000     0.0000000000e+00     0.0000000000e+00     3.2470174246e-03
    8.750000     0.0000000000e+00     0.0000000000e+00     3.4443506246e-03
    8.800000     0.0000000000e+00     0.0000000000e+00     3.4575936685e-03
    8.850000     0.0000000000e+00     0.0000000000e+00     3.2845614742e-03
    8.900000     0.0000000000e+00     0.0000000000e+00     2.9528272119e-03
    8.950000     0.0000000000e+00     0.0000000000e+00     2.5125919275e-03
    9.000000     0.0000000000e+00     0.0000000000e+00     2.0244434181e-03
    9.050000     0.0000000000e+00     0.0000000000e+00     1.5463099301e-03
    9.100000     0.0000000000e+00     0.0000000000e+00     1.1238386267e-03
    9.150000     0.0000000000e+00     0.0000000000e+00     7.8690022655e-04
    9.200000     0.0000000000e+00     0.0000000000e+00     5.5287385299e-04
    9.250000     0.0000000000e+00     0.0000000000e+00     4.3573470531e-04
    9.300000     0.0000000000e+00     0.0000000000e+00     4.5913015306e-04
    9.350000     0.0000000000e+00     0.0000000000e+00     6.7125267741e-04
    9.400000     0.0000000000e+00     0.0000000000e+00     1.1586676630e-03
    9.450000     0.0000000000e+00     0.0000000000e+00     2.0548184340e-03
    9.500000     0.0000000000e+00     0.0000000000e+00     3.5370433931e-03
    9.550000     0.0000000000e+00     0.0000000000e+00     5.8050497025e-03
    9.600000     0.0000000000e+00     0.0000000000e+00     9.0360377525e-03
    9.650000     0.0000000000e+00     0.0000000000e+00     1.3318654097e-02
    9.700000     0.0000000000e+00     0.0000000000e+00     1.8579025683e-02
    9.750000     0.0000000000e+00     0.0000000000e+00     2.4523322736e-02
    9.800000     0.0000000000e+00     0.0000000000e+00     3.0626080505e-02
    9.850000     0.0000000000e+00     0.0000000000e+00     3.6185944354e-02
    9.900000     0.0000000000e+00     0.0000000000e+00     4.0449567275e-02
    9.950000     0.0000000000e+00     0.0000000000e+00     4.2776659378e-02
   10.000000     0.0000000000e+00     0.0000000000e+00     4.2797187602e-02
   10.050000     0.0000000000e+00     0.0000000000e+00     4.0507724178e-02
   10.100000     0.0000000000e+00     0.0000000000e+00     3.6272492263e-02
   10.150000     0.0000000000e+00     0.0000000000e+00     3.0728807437e-02
   10.200000    -0.0000000000e+00     0.0000000000e+00     2.4630947073e-02
   10.250000    -0.0000000000e+00    -0.0000000000e+00     1.8685477182e-02
   10.300000    -0.0000000000e+00    -0.0000000000e+00     1.3427529754e-02
   10.350000    -0.0000000000e+00    -0.0000000000e+00     9.1657304124e-03
   10.400000    -0.0000000000e+00    -0.0000000000e+00     5.9955249418e-03
   10.450000    -0.0000000000e+00    -0.0000000000e+00     3.8590432379e-03
   10.500000     0.0000000000e+00    -0.0000000000e+00     2.6210879852e-03
   10.550000     0.0000000000e+00     0.0000000000e+00     2.1346441407e-03
   10.600000     0.0000000000e+00     0.0000000000e+00     2.2800521559e-03
   10.650000     0.0000000000e+00     0.0000000000e+00     2.9737633157e-03
   10.700000     0.0000000000e+00     0.0000000000e+00     4.1518599912e-03
   10.750000     0.0000000000e+00     0.0000000000e+00     5.7394041098e-03
   10.800000     0.0000000000e+00     0.0000000000e+00     7.6195017143e-03
   10.850000     0.0000000000e+00     0.0000000000e+00     9.6157577335e-03
   10.900000     0.0000000000e+00     0.0000000000e+00     1.1497979265e-02
   10.950000     0.0000000000e+00     0.0000000000e+00     1.3013454762e-02
   11.000000     0.0000000000e+00     0.0000000000e+00     1.3936505631e-02
   11.050000     0.0000000000e+00     0.0000000000e+00     1.4120805333e-02
   11.100000     0.0000000000e+00     0.0000000000e+00     1.3536162312e-02
   11.150000     0.0000000000e+00     0.0000000000e+00     1.2276110044e-02
   11.200000     0.0000000000e+00     0.0000000000e+00     1.0533219237e-02
   11.250000     0.0000000000e+00     0.0000000000e+00     8.5508922560e-03
   11.300000     0.0000000000e+00     0.0000000000e+00     6.5681698258e-03
   11.350000     0.0000000000e+00     0.0000000000e+00     4.7746475895e-03
   11.400000     0.0000000000e+00     0.0000000000e+00     3.2865859623e-03
   11.450000     0.0000000000e+00     0.0000000000e+00     2.1463376624e-03
   11.500000     0.0000000000e+00     0.0000000000e+00     1.3396563498e-03
   11.550000     0.0000000000e+00     0.0000000000e+00     8.2203968368e-04
   11.600000     0.0000000000e+00     0.0000000000e+00     5.4617354749e-04
   11.650000     0.0000000000e+00     0.0000000000e+00     4.8591468536e-04
   11.700000     0.0000000000e+00     0.0000000000e+00     6.5553396991e-04
   11.750000     0.0000000000e+00     0.0000000000e+00     1.1242015462e-03
   11.800000     0.0000000000e+00     0.0000000000e+00     2.0243039693e-03
   11.850000     0.0000000000e+00     0.0000000000e+00     3.5490133086e-03
