# Photoabsorption spectrum from linear response TD-DFT
# GPAW version: 19.8.1
# Gauss folded, width=0.03 [eV]
# length form# om [eV]     osz          osz x       osz y       osz z
   3.44113 5.6845626e-03 5.6845633e-03 5.6845429e-03 5.6845817e-03
   3.44863 1.4976828e-02 1.4976829e-02 1.4976776e-02 1.4976878e-02
   3.45613 3.7068005e-02 3.7068009e-02 3.7067876e-02 3.7068129e-02
   3.46363 8.6185693e-02 8.6185703e-02 8.6185394e-02 8.6185982e-02
   3.47113 1.8824686e-01 1.8824688e-01 1.8824621e-01 1.8824749e-01
   3.47863 3.8625748e-01 3.8625752e-01 3.8625614e-01 3.8625877e-01
   3.48613 7.4453077e-01 7.4453086e-01 7.4452819e-01 7.4453327e-01
   3.49363 1.3481711e+00 1.3481712e+00 1.3481664e+00 1.3481756e+00
   3.50113 2.2933162e+00 2.2933165e+00 2.2933083e+00 2.2933239e+00
   3.50863 3.6647089e+00 3.6647093e+00 3.6646962e+00 3.6647212e+00
   3.51613 5.5013797e+00 5.5013803e+00 5.5013606e+00 5.5013981e+00
   3.52363 7.7581888e+00 7.7581897e+00 7.7581619e+00 7.7582149e+00
   3.53113 1.0277930e+01 1.0277931e+01 1.0277895e+01 1.0277965e+01
   3.53863 1.2791091e+01 1.2791092e+01 1.2791047e+01 1.2791134e+01
   3.54613 1.4954300e+01 1.4954302e+01 1.4954248e+01 1.4954351e+01
   3.55363 1.6424086e+01 1.6424088e+01 1.6424029e+01 1.6424141e+01
   3.56113 1.6945442e+01 1.6945444e+01 1.6945384e+01 1.6945499e+01
   3.56863 1.6424086e+01 1.6424088e+01 1.6424029e+01 1.6424141e+01
   3.57613 1.4954300e+01 1.4954302e+01 1.4954248e+01 1.4954351e+01
   3.58363 1.2791091e+01 1.2791092e+01 1.2791047e+01 1.2791134e+01
   3.59113 1.0277930e+01 1.0277931e+01 1.0277895e+01 1.0277965e+01
   3.59863 7.7581888e+00 7.7581897e+00 7.7581619e+00 7.7582149e+00
   3.60613 5.5013797e+00 5.5013803e+00 5.5013606e+00 5.5013981e+00
   3.61363 3.6647089e+00 3.6647093e+00 3.6646962e+00 3.6647212e+00
   3.62113 2.2933162e+00 2.2933165e+00 2.2933083e+00 2.2933239e+00
   3.62863 1.3481711e+00 1.3481712e+00 1.3481664e+00 1.3481756e+00
   3.63613 7.4453077e-01 7.4453086e-01 7.4452819e-01 7.4453327e-01
   3.64363 3.8625748e-01 3.8625752e-01 3.8625614e-01 3.8625877e-01
   3.65113 1.8824686e-01 1.8824688e-01 1.8824621e-01 1.8824749e-01
   3.65863 8.6185693e-02 8.6185703e-02 8.6185394e-02 8.6185982e-02
   3.66613 3.7068005e-02 3.7068009e-02 3.7067876e-02 3.7068129e-02
   3.67363 1.4976828e-02 1.4976829e-02 1.4976776e-02 1.4976878e-02
   3.68113 5.6845626e-03 5.6845633e-03 5.6845429e-03 5.6845817e-03
   3.68863 2.0268932e-03 2.0268934e-03 2.0268862e-03 2.0269000e-03
   3.69613 6.7892419e-04 6.7892426e-04 6.7892183e-04 6.7892646e-04
   3.70363 2.1363297e-04 2.1363300e-04 2.1363223e-04 2.1363369e-04
   3.71113 6.3149786e-05 6.3149793e-05 6.3149567e-05 6.3149998e-05
   3.71863 1.7536062e-05 1.7536064e-05 1.7536002e-05 1.7536121e-05
   3.72613 4.5745552e-06 4.5745557e-06 4.5745393e-06 4.5745705e-06
   3.73363 1.1210430e-06 1.1210431e-06 1.1210391e-06 1.1210467e-06
   3.74113 2.5807874e-07 2.5807877e-07 2.5807785e-07 2.5807961e-07
   3.74863 5.5813442e-08 5.5813449e-08 5.5813249e-08 5.5813630e-08
   3.75613 1.1339189e-08 1.1339190e-08 1.1339149e-08 1.1339227e-08
   3.76363 2.1641220e-09 2.1641223e-09 2.1641145e-09 2.1641293e-09
   3.77113 3.8800570e-10 3.8800574e-10 3.8800435e-10 3.8800700e-10
   3.77863 6.5350822e-11 6.5350830e-11 6.5350596e-11 6.5351042e-11
   3.78613 1.0340002e-11 1.0340003e-11 1.0339966e-11 1.0340036e-11
   3.79363 1.5369040e-12 1.5369042e-12 1.5368987e-12 1.5369092e-12
   3.80113 2.1459989e-13 2.1459991e-13 2.1459914e-13 2.1460061e-13
   3.80863 2.8149379e-14 2.8149382e-14 2.8149282e-14 2.8149474e-14
   3.81613 3.4686841e-15 3.4686845e-15 3.4686721e-15 3.4686958e-15
   3.82363 4.0152933e-16 4.0152938e-16 4.0152794e-16 4.0153068e-16
   3.83113 4.3664289e-17 4.3664294e-17 4.3664137e-17 4.3664436e-17
   3.83863 4.4605879e-18 4.4605884e-18 4.4605725e-18 4.4606029e-18
   3.84613 4.2806963e-19 4.2806967e-19 4.2806814e-19 4.2807106e-19
   3.85363 3.8591647e-20 3.8591652e-20 3.8591513e-20 3.8591777e-20
   3.86113 3.2683519e-21 3.2683523e-21 3.2683406e-21 3.2683629e-21
   3.86863 2.6002847e-22 2.6002850e-22 2.6002757e-22 2.6002935e-22
   3.87613 1.9434331e-23 1.9434333e-23 1.9434264e-23 1.9434396e-23
   3.88363 1.3645042e-24 1.3645044e-24 1.3644995e-24 1.3645088e-24
   3.89113 8.9998807e-26 8.9998818e-26 8.9998495e-26 8.9999109e-26
   3.89863 5.5764168e-27 5.5764174e-27 5.5763974e-27 5.5764355e-27
   3.90613 3.2458638e-28 3.2458642e-28 3.2458525e-28 3.2458747e-28
   3.91363 1.7748512e-29 1.7748514e-29 1.7748451e-29 1.7748572e-29
