0.05 0.0 0.0
0.15000000000000002 0.0 0.0
0.25 0.0 0.0
0.35000000000000003 0.0 0.0
0.45 0.0 0.0
0.55 5.465485438774561 0.125
0.65 0.0 0.125
0.75 0.0 0.125
0.8500000000000001 0.0 0.125
0.9500000000000001 1.8352737082231911 0.25
1.05 0.0 0.25
1.1500000000000001 0.0 0.25
1.25 0.0 0.25
1.35 1.8184978973619186 0.5
1.4500000000000002 1.5764157683945643 0.75
1.55 1.3796371010498891 1.0
1.6500000000000001 0.6087627600103854 1.125
1.75 1.0823921108345709 1.375
1.85 0.9685670397828328 1.625
1.9500000000000002 1.30769283504422 2.0
2.0500000000000003 1.5776658998524504 2.5
2.15 1.0757588498813664 2.875
2.25 1.3097015797985108 3.375
2.35 1.5007820607377353 4.0
2.45 1.104628928214298 4.5
2.5500000000000003 2.388598031216195 5.625
2.6500000000000004 1.5975134604898318 6.375
2.75 0.8039211067889583 6.75
2.85 1.352990185435925 7.375
2.95 0.5483563318711643 7.625
3.0500000000000003 1.115155143350451 8.125
3.1500000000000004 0.8535912957008568 8.5
3.25 0.874605854818046 8.875
3.35 1.4998769523225035 9.5
3.45 0.6201486269817991 9.75
3.5500000000000003 1.6106191725666716 10.375
