H2O_gs ID=1 IR-X	H2O_gs ID=1 IR-Y	H2O_es ID=1 IR-X	H2O_es ID=1 IR-Y
0	0.0015095901563446053	0	0.00836919985754599
5	0.001518415784888457	5	0.008416897903750165
10	0.0015273211650027618	10	0.008465057458578736
15	0.0015363072720595131	15	0.008513684899157286
20	0.0015453750964643832	20	0.008562786716587709
25	0.0015545256439362476	25	0.008612369518434557
30	0.0015637599357927999	30	0.008662440031275219
35	0.0015730790092424042	35	0.008713005103315876
40	0.0015824839176823437	40	0.008764071707075152
45	0.0015919757310036288	45	0.008815646942137484
50	0.0016015555359025243	50	0.008867738037978284
55	0.0016112244361989713	55	0.00892035235686307
60	0.0016209835531620753	60	0.008973497396822768
65	0.0016308340258428431	65	0.009027180794707487
70	0.0016407770114143484	70	0.009081410329321167
75	0.0016508136855195232	75	0.009136193924639536
80	0.0016609452426267688	80	0.009191539653113943
85	0.001671172896393582	85	0.009247455739063692
90	0.0016814978800384144	90	0.009303950562159593
95	0.0016919214467209674	95	0.009361032661001571
100	0.0017024448699311542	100	0.009418710736793241
105	0.0017130694438869441	105	0.00947699365711646
110	0.0017237964839413283	110	0.009535890459809002
115	0.0017346273269986463	115	0.00959541035694858
120	0.0017455633319405175	120	0.009655562738946587
125	0.0017566058800616356	125	0.009716357178754995
130	0.0017677563755156838	130	0.00977780343619004
135	0.0017790162457716442	135	0.00983991146237642
140	0.0017903869420807773	140	0.009902691404315822
145	0.0018018699399545552	145	0.009966153609583854
150	0.0018134667396538526	150	0.010030308631159444
155	0.0018251788666896853	155	0.010095167232391067
160	0.0018370078723358237	160	0.01016074039210423
165	0.0018489553341535917	165	0.010227039309854823
170	0.0018610228565291934	170	0.010294075411333134
175	0.001873212071223905	175	0.010361860353923523
180	0.0018855246379374845	180	0.010430406032424854
185	0.0018979622448851681	185	0.010499724584937059
190	0.0019105266093886256	190	0.010569828398919397
195	0.00192321947848126	195	0.010640730117426118
200	0.0019360426295282624	200	0.010712442645525545
205	0.001948997870861815	205	0.010784979156908752
210	0.001962087042431885	210	0.010858353100694287
215	0.001975312016473041	215	0.010932578208435614
220	0.0019886746981877417	220	0.011007668501338216
225	0.0020021770264465693	225	0.011083638297693587
230	0.0020158209745058855	230	0.011160502220537565
235	0.0020296085507434097	235	0.011238275205540852
240	0.002043541799412233	240	0.011316972509139735
245	0.002057622801413796	245	0.011396609716915461
250	0.0020718536750903775	250	0.011477202752231014
255	0.0020862365770376663	255	0.011558767885134337
260	0.0021007737029379845	260	0.011641321741537486
265	0.002115467288414783	265	0.011724881312681533
270	0.00213031960990902	270	0.011809463964897439
275	0.002145332985578065	275	0.011895087449673524
280	0.002160509776217805	280	0.011981769914040642
285	0.0021758523862086205	285	0.012069529911286524
290	0.002191363264485963	290	0.012158386412011347
295	0.0022070449055362437	295	0.012248358815536962
300	0.0022228998504188148	300	0.012339466961682814
305	0.002238930687814806	305	0.012431731142922113
310	0.0022551400551036453	310	0.012525172116932317
315	0.0022715306394680847	315	0.012619811119554694
320	0.002288105179028614	320	0.012715669878178227
325	0.0023048664640081414	325	0.01281277062556389
330	0.0023218173379278874	330	0.012911136114125886
335	0.002338960698835433	335	0.013010789630687275
340	0.0023562995005659256	340	0.013111755011728052
345	0.00237383675403747	345	0.013214056659144584
350	0.0023915755285817595	350	0.013317719556540136
355	0.0024095189533110584	355	0.013422769286067022
360	0.0024276702185226616	360	0.013529232045841876
365	0.0024460325771420268	365	0.013637134667956453
370	0.002464609346205787	370	0.01374650463710738
375	0.0024834039083859185	375	0.01385737010986926
380	0.002502419713556363	380	0.013969759934636752
385	0.0025216602804034767	385	0.014083703672262221
390	0.0025411291980816995	390	0.014199231617416933
395	0.0025608301279159093	395	0.014316374820704874
400	0.0025807668051519676	400	0.014435165111559754
405	0.0026009430407570294	405	0.014555635121957023
410	0.002621362723271226	410	0.014677818310974257
415	0.0026420298207124253	415	0.014801748990234837
420	0.002662948382535796	420	0.014927462350271405
425	0.0026841225416499906	425	0.015054994487847325
430	0.002705556516491838	430	0.015184382434276195
435	0.0027272546131614697	435	0.015315664184781284
440	0.002749221227619925	440	0.015448878728938834
445	0.00277146084795132	445	0.015584066082251187
450	0.0027939780566917567	450	0.01572126731889798
455	0.00281677753322724	455	0.015860524605715916
460	0.0028398640562629428	460	0.016001881237460124
465	0.0028632425063662634	465	0.01614538167340265
470	0.002886917868586198	470	0.016291071575326374
475	0.0029108952351516596	475	0.016438997846975594
480	0.0029351798082514835	480	0.01658920867502738
485	0.002959776902898943	485	0.016741753571651176
490	0.002984691949883736	490	0.016896683418727458
495	0.003009930498814508	495	0.017054050513799702
500	0.0030354982212550887	500	0.017213908617837947
505	0.003061400913957773	505	0.01737631300489593
510	0.003087644502197073	510	0.0175413205137482
515	0.0031142350432075503	515	0.017708989601597967
520	0.003141178729729433	520	0.017879380399951197
525	0.003168481893665916	525	0.01805255477275738
530	0.003196151009856177	530	0.01822857637692279
535	0.00322419269996831	535	0.0184075107253075
540	0.0032526137365165575	540	0.01858942525232345
545	0.0032814210470073885	545	0.01877438938225707
550	0.003310621718219184	550	0.01896247460044654
555	0.003340223000620455	555	0.019153754527450995
560	0.0033702323129317516	560	0.01934830499635617
565	0.003400657246836635	565	0.019546204133369202
570	0.003431505571847292	570	0.01974753244186341
575	0.0034627852403306286	575	0.019952372890043032
580	0.003494504392700925	580	0.0201608110024072
585	0.0035266713627853793	585	0.020372934955202624
590	0.0035592946833691605	590	0.020588835676065027
595	0.0035923830919268674	595	0.020808606948060793
