H2O_es ID=1 IR-X	H2O_es ID=1 IR-Y
0	0.0015095901563446053
5	0.001518415784888457
10	0.0015273211650027618
15	0.0015363072720595131
20	0.0015453750964643832
25	0.0015545256439362476
30	0.0015637599357927999
35	0.0015730790092424042
40	0.0015824839176823437
45	0.0015919757310036288
50	0.0016015555359025243
55	0.0016112244361989713
60	0.0016209835531620753
65	0.0016308340258428431
70	0.0016407770114143484
75	0.0016508136855195232
80	0.0016609452426267688
85	0.001671172896393582
90	0.0016814978800384144
95	0.0016919214467209674
100	0.0017024448699311542
105	0.0017130694438869441
110	0.0017237964839413283
115	0.0017346273269986463
120	0.0017455633319405175
125	0.0017566058800616356
130	0.0017677563755156838
135	0.0017790162457716442
140	0.0017903869420807773
145	0.0018018699399545552
150	0.0018134667396538526
155	0.0018251788666896853
160	0.0018370078723358237
165	0.0018489553341535917
170	0.0018610228565291934
175	0.001873212071223905
180	0.0018855246379374845
185	0.0018979622448851681
190	0.0019105266093886256
195	0.00192321947848126
200	0.0019360426295282624
205	0.001948997870861815
210	0.001962087042431885
215	0.001975312016473041
220	0.0019886746981877417
225	0.0020021770264465693
230	0.0020158209745058855
235	0.0020296085507434097
240	0.002043541799412233
245	0.002057622801413796
250	0.0020718536750903775
255	0.0020862365770376663
260	0.0021007737029379845
265	0.002115467288414783
270	0.00213031960990902
275	0.002145332985578065
280	0.002160509776217805
285	0.0021758523862086205
290	0.002191363264485963
295	0.0022070449055362437
300	0.0022228998504188148
305	0.002238930687814806
310	0.0022551400551036453
315	0.0022715306394680847
320	0.002288105179028614
325	0.0023048664640081414
330	0.0023218173379278874
335	0.002338960698835433
340	0.0023562995005659256
345	0.00237383675403747
350	0.0023915755285817595
355	0.0024095189533110584
360	0.0024276702185226616
365	0.0024460325771420268
370	0.002464609346205787
375	0.0024834039083859185
380	0.002502419713556363
385	0.0025216602804034767
390	0.0025411291980816995
395	0.0025608301279159093
400	0.0025807668051519676
405	0.0026009430407570294
410	0.002621362723271226
415	0.0026420298207124253
420	0.002662948382535796
425	0.0026841225416499906
430	0.002705556516491838
435	0.0027272546131614697
440	0.002749221227619925
445	0.00277146084795132
450	0.0027939780566917567
455	0.00281677753322724
460	0.0028398640562629428
465	0.0028632425063662634
470	0.002886917868586198
475	0.0029108952351516596
480	0.0029351798082514835
485	0.002959776902898943
490	0.002984691949883736
495	0.003009930498814508
500	0.0030354982212550887
505	0.003061400913957773
510	0.003087644502197073
515	0.0031142350432075503
520	0.003141178729729433
525	0.003168481893665916
530	0.003196151009856177
535	0.00322419269996831
540	0.0032526137365165575
545	0.0032814210470073885
550	0.003310621718219184
555	0.003340223000620455
560	0.0033702323129317516
565	0.003400657246836635
