# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 14.9900 fs, Time steps = [10.0000] as
# Kick = [0.001, 0, 0]
# Gaussian folding, Width = 0.1500 eV = 0.005512 Hartree <=> FWHM = 0.353223 eV
#    om (eV)                  S_x                  S_y                  S_z
    0.000000     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00
    0.050000     4.1362140226e-04     0.0000000000e+00    -0.0000000000e+00
    0.100000     1.6661360665e-03     0.0000000000e+00    -0.0000000000e+00
    0.150000     3.7717619540e-03     0.0000000000e+00    -0.0000000000e+00
    0.200000     6.6941349921e-03     0.0000000000e+00    -0.0000000000e+00
    0.250000     1.0288501948e-02     0.0000000000e+00    -0.0000000000e+00
    0.300000     1.4279737071e-02     0.0000000000e+00    -0.0000000000e+00
    0.350000     1.8307483587e-02     0.0000000000e+00    -0.0000000000e+00
    0.400000     2.2033577109e-02     0.0000000000e+00    -0.0000000000e+00
    0.450000     2.5265323234e-02     0.0000000000e+00     0.0000000000e+00
    0.500000     2.8034572087e-02     0.0000000000e+00     0.0000000000e+00
    0.550000     3.0598827928e-02     0.0000000000e+00     0.0000000000e+00
    0.600000     3.3374875784e-02     0.0000000000e+00     0.0000000000e+00
    0.650000     3.6847135636e-02     0.0000000000e+00     0.0000000000e+00
    0.700000     4.1505329472e-02     0.0000000000e+00     0.0000000000e+00
    0.750000     4.7871045821e-02     0.0000000000e+00     0.0000000000e+00
    0.800000     5.6663258169e-02     0.0000000000e+00     0.0000000000e+00
    0.850000     6.9088321503e-02     0.0000000000e+00     0.0000000000e+00
    0.900000     8.7098216177e-02     0.0000000000e+00     0.0000000000e+00
    0.950000     1.1331408178e-01     0.0000000000e+00     0.0000000000e+00
    1.000000     1.5032587932e-01     0.0000000000e+00     0.0000000000e+00
    1.050000     1.9938132969e-01     0.0000000000e+00     0.0000000000e+00
    1.100000     2.5898451454e-01     0.0000000000e+00     0.0000000000e+00
    1.150000     3.2430227031e-01     0.0000000000e+00     0.0000000000e+00
    1.200000     3.8813930598e-01     0.0000000000e+00     0.0000000000e+00
    1.250000     4.4348734247e-01     0.0000000000e+00    -0.0000000000e+00
    1.300000     4.8665101343e-01     0.0000000000e+00    -0.0000000000e+00
    1.350000     5.1938225830e-01    -0.0000000000e+00    -0.0000000000e+00
    1.400000     5.4882373161e-01    -0.0000000000e+00    -0.0000000000e+00
    1.450000     5.8526268241e-01    -0.0000000000e+00    -0.0000000000e+00
