# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 14.9900 fs, Time steps = [10.0000] as
# Kick = [0.001, 0, 0]
# Gaussian folding, Width = 0.1500 eV = 0.005512 Hartree <=> FWHM = 0.353223 eV
#    om (eV)                  S_x                  S_y                  S_z
    0.000000     0.0000000000e+00     0.0000000000e+00     0.0000000000e+00
    0.050000     2.8095846621e-05     0.0000000000e+00    -0.0000000000e+00
    0.100000     4.6884875685e-05     0.0000000000e+00     0.0000000000e+00
    0.150000    -2.8004989870e-05     0.0000000000e+00     0.0000000000e+00
    0.200000    -1.3290340194e-04     0.0000000000e+00     0.0000000000e+00
    0.250000    -1.0387605141e-04     0.0000000000e+00     0.0000000000e+00
    0.300000     8.6207094969e-05    -0.0000000000e+00     0.0000000000e+00
    0.350000     2.2660093718e-04    -0.0000000000e+00     0.0000000000e+00
    0.400000     9.8814564534e-05    -0.0000000000e+00     0.0000000000e+00
    0.450000    -2.0955098835e-04    -0.0000000000e+00     0.0000000000e+00
    0.500000    -3.3630485788e-04     0.0000000000e+00     0.0000000000e+00
    0.550000    -6.6315250689e-05     0.0000000000e+00     0.0000000000e+00
    0.600000     3.4104993059e-04     0.0000000000e+00     0.0000000000e+00
    0.650000     3.8355895571e-04     0.0000000000e+00     0.0000000000e+00
    0.700000    -7.7795491826e-05     0.0000000000e+00     0.0000000000e+00
    0.750000    -5.5864243765e-04     0.0000000000e+00    -0.0000000000e+00
    0.800000    -4.4946711974e-04     0.0000000000e+00    -0.0000000000e+00
    0.850000     2.2353322649e-04     0.0000000000e+00    -0.0000000000e+00
    0.900000     7.0846285724e-04     0.0000000000e+00    -0.0000000000e+00
    0.950000     3.5373090356e-04     0.0000000000e+00    -0.0000000000e+00
    1.000000    -5.3910318083e-04     0.0000000000e+00    -0.0000000000e+00
    1.050000    -9.2622295543e-04     0.0000000000e+00     0.0000000000e+00
    1.100000    -2.2351138859e-04     0.0000000000e+00     0.0000000000e+00
    1.150000     8.6023735682e-04    -0.0000000000e+00     0.0000000000e+00
    1.200000     9.9921698792e-04    -0.0000000000e+00     0.0000000000e+00
    1.250000    -1.5284419568e-04    -0.0000000000e+00     0.0000000000e+00
    1.300000    -1.3345312668e-03    -0.0000000000e+00     0.0000000000e+00
    1.350000    -1.0132989243e-03    -0.0000000000e+00     0.0000000000e+00
    1.400000     6.8976659662e-04     0.0000000000e+00     0.0000000000e+00
    1.450000     1.9506119213e-03     0.0000000000e+00     0.0000000000e+00
    1.500000     1.7022750801e-03     0.0000000000e+00     0.0000000000e+00
    1.550000     2.4194475288e-03     0.0000000000e+00     0.0000000000e+00
    1.600000     1.1003377503e-02     0.0000000000e+00     0.0000000000e+00
    1.650000     3.9168945537e-02     0.0000000000e+00     0.0000000000e+00
    1.700000     1.0766885189e-01     0.0000000000e+00     0.0000000000e+00
    1.750000     2.5526506559e-01     0.0000000000e+00    -0.0000000000e+00
    1.800000     5.4395776094e-01     0.0000000000e+00    -0.0000000000e+00
    1.850000     1.0456691767e+00     0.0000000000e+00    -0.0000000000e+00
    1.900000     1.8029475601e+00     0.0000000000e+00    -0.0000000000e+00
    1.950000     2.7774580436e+00     0.0000000000e+00    -0.0000000000e+00
    2.000000     3.8200699458e+00     0.0000000000e+00    -0.0000000000e+00
    2.050000     4.6951741278e+00     0.0000000000e+00     0.0000000000e+00
    2.100000     5.1627826299e+00     0.0000000000e+00     0.0000000000e+00
    2.150000     5.0817444221e+00     0.0000000000e+00     0.0000000000e+00
    2.200000     4.4762426855e+00     0.0000000000e+00     0.0000000000e+00
    2.250000     3.5250222868e+00     0.0000000000e+00     0.0000000000e+00
    2.300000     2.4792284089e+00     0.0000000000e+00     0.0000000000e+00
    2.350000     1.5576269428e+00     0.0000000000e+00     0.0000000000e+00
    2.400000     8.7681205937e-01     0.0000000000e+00     0.0000000000e+00
    2.450000     4.4477610555e-01     0.0000000000e+00     0.0000000000e+00
    2.500000     2.0350459078e-01     0.0000000000e+00     0.0000000000e+00
    2.550000     8.1790454047e-02     0.0000000000e+00     0.0000000000e+00
    2.600000     2.6528622614e-02     0.0000000000e+00    -0.0000000000e+00
    2.650000     6.5197175160e-03     0.0000000000e+00    -0.0000000000e+00
    2.700000     3.1810171701e-03     0.0000000000e+00    -0.0000000000e+00
    2.750000     3.9553732240e-03     0.0000000000e+00     0.0000000000e+00
    2.800000     2.3604856628e-03     0.0000000000e+00     0.0000000000e+00
    2.850000    -1.1949163794e-03     0.0000000000e+00     0.0000000000e+00
    2.900000    -2.8488868445e-03     0.0000000000e+00     0.0000000000e+00
    2.950000    -8.8051930039e-04     0.0000000000e+00     0.0000000000e+00
    3.000000     2.1742738266e-03     0.0000000000e+00     0.0000000000e+00
    3.050000     2.6768164046e-03     0.0000000000e+00     0.0000000000e+00
    3.100000     1.6072820356e-04     0.0000000000e+00     0.0000000000e+00
    3.150000    -2.3120123479e-03    -0.0000000000e+00     0.0000000000e+00
    3.200000    -1.8841037891e-03    -0.0000000000e+00     0.0000000000e+00
    3.250000     8.0831268654e-04    -0.0000000000e+00     0.0000000000e+00
    3.300000     2.5418729272e-03    -0.0000000000e+00     0.0000000000e+00
    3.350000     1.3428135300e-03    -0.0000000000e+00    -0.0000000000e+00
    3.400000    -1.2948978469e-03    -0.0000000000e+00    -0.0000000000e+00
    3.450000    -2.2764769467e-03    -0.0000000000e+00    -0.0000000000e+00
    3.500000    -5.3263172159e-04    -0.0000000000e+00     0.0000000000e+00
    3.550000     1.8282119218e-03    -0.0000000000e+00     0.0000000000e+00
    3.600000     2.0621526872e-03     0.0000000000e+00     0.0000000000e+00
    3.650000    -3.1943425446e-05     0.0000000000e+00     0.0000000000e+00
    3.700000    -1.9669758573e-03     0.0000000000e+00     0.0000000000e+00
    3.750000    -1.5154641795e-03     0.0000000000e+00     0.0000000000e+00
    3.800000     7.3519848884e-04     0.0000000000e+00     0.0000000000e+00
    3.850000     2.1405351648e-03    -0.0000000000e+00     0.0000000000e+00
    3.900000     1.0994484048e-03    -0.0000000000e+00     0.0000000000e+00
    3.950000    -1.1307991930e-03    -0.0000000000e+00     0.0000000000e+00
    4.000000    -1.9543033794e-03    -0.0000000000e+00     0.0000000000e+00
    4.050000    -4.5686152286e-04    -0.0000000000e+00     0.0000000000e+00
    4.100000     1.5817652354e-03    -0.0000000000e+00     0.0000000000e+00
    4.150000     1.7983133012e-03    -0.0000000000e+00     0.0000000000e+00
    4.200000    -1.9969292405e-05    -0.0000000000e+00     0.0000000000e+00
    4.250000    -1.7357157511e-03    -0.0000000000e+00     0.0000000000e+00
    4.300000    -1.3713887293e-03     0.0000000000e+00     0.0000000000e+00
    4.350000     6.1491551112e-04     0.0000000000e+00     0.0000000000e+00
    4.400000     1.9024108731e-03     0.0000000000e+00     0.0000000000e+00
    4.450000     1.0163413780e-03     0.0000000000e+00     0.0000000000e+00
    4.500000    -9.8339772095e-04     0.0000000000e+00     0.0000000000e+00
    4.550000    -1.7562909075e-03     0.0000000000e+00     0.0000000000e+00
    4.600000    -3.7515433292e-04     0.0000000000e+00    -0.0000000000e+00
    4.650000     1.6820660513e-03     0.0000000000e+00    -0.0000000000e+00
    4.700000     2.3782641863e-03     0.0000000000e+00    -0.0000000000e+00
    4.750000     1.6427131472e-03     0.0000000000e+00    -0.0000000000e+00
    4.800000     1.6384126691e-03     0.0000000000e+00    -0.0000000000e+00
    4.850000     4.4306821481e-03     0.0000000000e+00     0.0000000000e+00
    4.900000     9.6762514203e-03     0.0000000000e+00     0.0000000000e+00
    4.950000     1.4901491685e-02     0.0000000000e+00     0.0000000000e+00
    5.000000     1.8003292513e-02     0.0000000000e+00     0.0000000000e+00
    5.050000     1.9184044383e-02    -0.0000000000e+00     0.0000000000e+00
    5.100000     2.0329651077e-02    -0.0000000000e+00     0.0000000000e+00
    5.150000     2.2803614523e-02    -0.0000000000e+00     0.0000000000e+00
    5.200000     2.6279242618e-02    -0.0000000000e+00     0.0000000000e+00
    5.250000     2.9746516501e-02     0.0000000000e+00     0.0000000000e+00
    5.300000     3.3111068483e-02     0.0000000000e+00     0.0000000000e+00
    5.350000     3.7146624979e-02     0.0000000000e+00     0.0000000000e+00
    5.400000     4.1738766510e-02     0.0000000000e+00    -0.0000000000e+00
    5.450000     4.4706733962e-02     0.0000000000e+00    -0.0000000000e+00
    5.500000     4.3087080822e-02     0.0000000000e+00    -0.0000000000e+00
    5.550000     3.5927475668e-02     0.0000000000e+00    -0.0000000000e+00
    5.600000     2.5645233173e-02     0.0000000000e+00     0.0000000000e+00
    5.650000     1.6290114937e-02     0.0000000000e+00     0.0000000000e+00
    5.700000     1.0317059989e-02    -0.0000000000e+00     0.0000000000e+00
    5.750000     7.0885011833e-03    -0.0000000000e+00     0.0000000000e+00
    5.800000     4.4502599119e-03     0.0000000000e+00     0.0000000000e+00
    5.850000     1.4380942344e-03     0.0000000000e+00     0.0000000000e+00
    5.900000    -8.7567595338e-04     0.0000000000e+00     0.0000000000e+00
    5.950000    -1.1049609642e-03     0.0000000000e+00     0.0000000000e+00
    6.000000     3.9066274469e-04     0.0000000000e+00     0.0000000000e+00
    6.050000     1.6074212659e-03     0.0000000000e+00     0.0000000000e+00
    6.100000     1.0379637611e-03     0.0000000000e+00     0.0000000000e+00
    6.150000    -6.8065321492e-04     0.0000000000e+00     0.0000000000e+00
    6.200000    -1.5603502081e-03     0.0000000000e+00     0.0000000000e+00
    6.250000    -5.9034385890e-04     0.0000000000e+00     0.0000000000e+00
    6.300000     1.0920955928e-03     0.0000000000e+00     0.0000000000e+00
    6.350000     1.5308203367e-03     0.0000000000e+00     0.0000000000e+00
    6.400000     2.2188737998e-04     0.0000000000e+00     0.0000000000e+00
    6.450000    -1.3109682880e-03     0.0000000000e+00    -0.0000000000e+00
    6.500000    -1.2931309381e-03    -0.0000000000e+00    -0.0000000000e+00
    6.550000     2.4380260648e-04    -0.0000000000e+00    -0.0000000000e+00
    6.600000     1.5090634250e-03    -0.0000000000e+00    -0.0000000000e+00
    6.650000     1.0374127990e-03     0.0000000000e+00    -0.0000000000e+00
    6.700000    -6.1485006861e-04     0.0000000000e+00     0.0000000000e+00
    6.750000    -1.5253588755e-03     0.0000000000e+00     0.0000000000e+00
    6.800000    -6.4083089147e-04     0.0000000000e+00     0.0000000000e+00
    6.850000     1.0060423697e-03     0.0000000000e+00     0.0000000000e+00
    6.900000     1.5030693220e-03     0.0000000000e+00     0.0000000000e+00
    6.950000     2.7871746363e-04     0.0000000000e+00     0.0000000000e+00
    7.000000    -1.2416238258e-03     0.0000000000e+00     0.0000000000e+00
    7.050000    -1.2966649094e-03     0.0000000000e+00     0.0000000000e+00
    7.100000     1.6789886113e-04     0.0000000000e+00     0.0000000000e+00
    7.150000     1.4440430088e-03     0.0000000000e+00     0.0000000000e+00
    7.200000     1.0492539147e-03     0.0000000000e+00     0.0000000000e+00
    7.250000    -5.5518874196e-04     0.0000000000e+00     0.0000000000e+00
    7.300000    -1.5062761863e-03     0.0000000000e+00     0.0000000000e+00
